"id","ten_file_anh","wrist","thumb_cmc","thumb_mcp","thumb_ip","thumb_tip","index_finger_mcp","index_finger_pip","index_finger_dip","index_finger_tip","middle_finger_mcp","middle_finger_pip","middle_finger_dip","middle_finger_tip","ring_finger_mcp","ring_finger_pip","ring_finger_dip","ring_finger_tip","pinky_mcp","pinky_pip","pinky_dip","pinky_tip"
1,"image_20231202_145308.png","0.86013;0.7738;4.222e-07","0.81468;0.74056;-0.028166106","0.78439;0.65333;-0.035266269","0.82172;0.58371;-0.0377175845","0.87113;0.55124;-0.0430994891","0.75726;0.56171;-0.0268801432","0.7272;0.45055;-0.0414874107","0.71413;0.37836;-0.0527793467","0.70081;0.31704;-0.063028574","0.80061;0.54154;-0.0322842412","0.78391;0.4187;-0.0445294529","0.77372;0.33643;-0.06328208","0.76403;0.26659;-0.0770321414","0.84297;0.54936;-0.0403342694","0.84618;0.44288;-0.0684942156","0.84122;0.35978;-0.1026643887","0.83805;0.28627;-0.1265791655","0.88465;0.57873;-0.0486750901","0.87458;0.55417;-0.0871458873","0.86857;0.59877;-0.1016831249","0.87084;0.64055;-0.1093553901"
2,"image_20231202_145309.png","0.86203;0.7534;3.806e-07","0.81488;0.71224;-0.0270239003","0.79123;0.61814;-0.0318427421","0.82825;0.54821;-0.032274954","0.87078;0.51671;-0.0350779295","0.75867;0.52672;-0.0179983322","0.72587;0.41558;-0.0306257978","0.71071;0.34461;-0.0407711603","0.69585;0.28306;-0.0501036979","0.80273;0.50618;-0.0234931763","0.78402;0.38038;-0.035975486","0.77329;0.29869;-0.0535720475","0.7617;0.22846;-0.0654240549","0.84522;0.51357;-0.0323272459","0.84685;0.40418;-0.0619284511","0.84096;0.32056;-0.095763281","0.83538;0.24341;-0.1181219444","0.88718;0.54441;-0.0414163768","0.87336;0.51605;-0.0791246518","0.86654;0.56649;-0.0916736349","0.86815;0.61349;-0.0975408629"
3,"image_20231202_145310.png","0.88814;0.71988;4.679e-07","0.84025;0.68057;-0.0368816815","0.81741;0.57245;-0.0436202735","0.86237;0.49443;-0.0439050272","0.91552;0.46881;-0.0469661318","0.7811;0.48055;-0.0266862083","0.75052;0.36112;-0.0408041775","0.73812;0.28398;-0.0530811213","0.7259;0.21892;-0.0632657856","0.83019;0.45812;-0.0262421872","0.81459;0.32597;-0.0353557654","0.80493;0.24148;-0.0512024499","0.79544;0.17133;-0.0615228564","0.87911;0.46375;-0.0297513139","0.88362;0.34786;-0.0547802337","0.87853;0.26017;-0.0883129314","0.87598;0.18316;-0.1115190089","0.92635;0.49381;-0.0349379964","0.92841;0.46773;-0.0714209303","0.92889;0.52204;-0.0846469924","0.93906;0.57357;-0.0906694457"
4,"image_20231202_145311.png","0.69958;0.61501;7.534e-07","0.64809;0.58495;-0.0359259471","0.62039;0.50509;-0.054444842","0.66134;0.43835;-0.0667097047","0.70654;0.40081;-0.0828164965","0.59337;0.41502;-0.0548212826","0.55896;0.30318;-0.0835890472","0.54274;0.22612;-0.1058854014","0.52825;0.15899;-0.1221843585","0.64427;0.39427;-0.0605023317","0.62852;0.25884;-0.0874108374","0.61253;0.17234;-0.1137083247","0.59565;0.09293;-0.1301801652","0.69336;0.40503;-0.0668363497","0.69023;0.28791;-0.1040625647","0.67713;0.20775;-0.1328952909","0.66804;0.13062;-0.1509955078","0.73641;0.44162;-0.0736936778","0.72492;0.414;-0.1133147702","0.71572;0.46121;-0.1179248765","0.71932;0.50107;-0.1171634942"
5,"image_20231202_145312.png","0.64734;0.67811;5.321e-07","0.60012;0.64943;-0.0256051477","0.56676;0.55424;-0.0327241197","0.59583;0.47993;-0.0345305651","0.63622;0.43998;-0.0395925008","0.54514;0.45846;-0.0331453644","0.5088;0.3447;-0.0509241708","0.49216;0.26778;-0.0636734515","0.47818;0.2026;-0.0743310899","0.59506;0.43904;-0.0410311595","0.57361;0.30725;-0.0640532672","0.55917;0.22249;-0.0848345906","0.54613;0.14694;-0.0959884226","0.64276;0.44665;-0.0502215624","0.6361;0.32714;-0.0898467451","0.62495;0.24002;-0.1214609295","0.61976;0.1567;-0.1393904239","0.68801;0.4803;-0.0586439967","0.66714;0.45591;-0.1025416106","0.6582;0.5159;-0.1107016131","0.66347;0.56805;-0.111367628"
6,"image_20231202_145313.png","0.65557;0.83841;5.807e-07","0.61332;0.82166;-0.0244044587","0.58465;0.7362;-0.0349326171","0.60492;0.66553;-0.0401794352","0.62976;0.61682;-0.048962608","0.56466;0.63736;-0.0418701097","0.53579;0.52675;-0.0635696948","0.51876;0.45059;-0.0782025233","0.5045;0.3853;-0.0894500539","0.61131;0.61845;-0.0484912843","0.5943;0.48702;-0.0748333931","0.58202;0.40132;-0.0955847427","0.5713;0.32201;-0.1064215377","0.65713;0.62733;-0.0550747663","0.64751;0.50616;-0.0961401984","0.64025;0.4259;-0.1230467334","0.6397;0.34692;-0.1375732571","0.70027;0.66073;-0.0603372939","0.67975;0.64168;-0.102860339","0.67195;0.69749;-0.1083807945","0.67936;0.74328;-0.1072003245"
7,"image_20231202_145314.png","0.62593;0.93229;5.06e-07","0.57443;0.89819;-0.0229475424","0.5397;0.81066;-0.0319430977","0.56166;0.74481;-0.0374537259","0.59157;0.70247;-0.0463799797","0.53163;0.70106;-0.0307032112","0.50377;0.5862;-0.0493900254","0.48802;0.50848;-0.0633817092","0.47162;0.4423;-0.0753778443","0.57972;0.68715;-0.0420614518","0.56242;0.55356;-0.0648973063","0.54959;0.46603;-0.0861991122","0.5365;0.39039;-0.0993952081","0.62449;0.69968;-0.0550942644","0.61712;0.57419;-0.0949364677","0.60848;0.48802;-0.1258160174","0.60411;0.40973;-0.1443478167","0.66495;0.73621;-0.0673447102","0.64306;0.70522;-0.112034604","0.63484;0.76232;-0.1208332032","0.6396;0.81528;-0.1228357926"
8,"image_20231202_145315.png","0.4862;0.88095;8.379e-07","0.43309;0.85219;-0.0203542765","0.38986;0.75847;-0.0335308984","0.39626;0.67536;-0.0492568128","0.43936;0.65055;-0.0654874668","0.41593;0.66573;-0.0270446539","0.39154;0.54334;-0.0549079031","0.37634;0.46309;-0.0686984807","0.36707;0.39954;-0.0757519603","0.45809;0.65875;-0.0382408164","0.4437;0.52053;-0.0743232369","0.42766;0.42042;-0.0946619734","0.41719;0.33366;-0.1015347689","0.49959;0.67147;-0.0512433164","0.45784;0.61131;-0.1023172811","0.45376;0.65746;-0.1099593714","0.46719;0.67891;-0.0988213494","0.53992;0.69784;-0.0645243451","0.48381;0.66604;-0.1036165357","0.47411;0.73323;-0.0991763696","0.48591;0.78271;-0.0854783431"
9,"image_20231202_145316.png","0.39782;0.82975;4.416e-07","0.34007;0.80313;-0.0302469395","0.28388;0.70605;-0.0418818779","0.29707;0.6222;-0.0477175079","0.33801;0.57095;-0.0567288324","0.29024;0.58351;-0.0433897562","0.24454;0.47459;-0.0605777055","0.2149;0.4024;-0.0704755411","0.19071;0.33963;-0.0811084509","0.34261;0.56175;-0.0522652566","0.32081;0.41616;-0.0731547102","0.30625;0.32476;-0.0893742666","0.29529;0.25255;-0.0994355008","0.39412;0.57115;-0.0634809583","0.37345;0.44918;-0.1059407145","0.35812;0.36275;-0.1369036734","0.35428;0.28255;-0.1559325606","0.43933;0.60735;-0.0744779855","0.38391;0.59968;-0.1281464249","0.36881;0.67496;-0.1434602141","0.37458;0.73672;-0.1501657814"
10,"image_20231202_145317.png","0.36298;0.72851;2.509e-07","0.29256;0.68502;-0.0204405151","0.24274;0.56275;-0.0231926236","0.2685;0.47278;-0.0228199307","0.30884;0.42278;-0.0259321798","0.2495;0.45567;-0.014640728","0.20038;0.34095;-0.0228116717","0.17127;0.26569;-0.0302449912","0.14766;0.1988;-0.0411037095","0.3;0.43242;-0.0280347541","0.2741;0.28327;-0.045466572","0.25725;0.19159;-0.0649477839","0.24505;0.11815;-0.077803269","0.34921;0.43874;-0.0441449769","0.33318;0.29606;-0.0867288783","0.32351;0.20136;-0.1226247698","0.3235;0.11577;-0.144991532","0.39674;0.47236;-0.0589573272","0.34647;0.44063;-0.1123111174","0.33312;0.52007;-0.1265493929","0.33981;0.59019;-0.1326015294"
