"id","ten_file_anh","wrist","thumb_cmc","thumb_mcp","thumb_ip","thumb_tip","index_finger_mcp","index_finger_pip","index_finger_dip","index_finger_tip","middle_finger_mcp","middle_finger_pip","middle_finger_dip","middle_finger_tip","ring_finger_mcp","ring_finger_pip","ring_finger_dip","ring_finger_tip","pinky_mcp","pinky_pip","pinky_dip","pinky_tip"
1,"image_20231202_144919.png","0.88119;0.82151;-7.82e-07","0.81649;0.78003;-0.0171336047","0.77217;0.69547;-0.0223172866","0.76698;0.6148;-0.0302433595","0.78626;0.58434;-0.032120686","0.8051;0.62294;0.0121098682","0.78318;0.57456;-0.0208596941","0.7884;0.64501;-0.0321755596","0.79963;0.65361;-0.0343133248","0.84283;0.62593;0.00762252","0.82017;0.58597;-0.0288758129","0.82165;0.67123;-0.0278674308","0.83426;0.66836;-0.0161753055","0.87925;0.63407;-0.0047201314","0.85659;0.60088;-0.0424330197","0.85357;0.68235;-0.0257879049","0.86541;0.68144;-0.0029934575","0.91778;0.64253;-0.0192247983","0.89329;0.60999;-0.0320733115","0.88521;0.66857;-0.0145039605","0.89642;0.67755;0.0036483358"
2,"image_20231202_144920.png","0.89289;0.70595;-7.563e-07","0.83266;0.67077;-0.0134185394","0.77902;0.58886;-0.0151957972","0.76099;0.50533;-0.020739533","0.78667;0.47333;-0.0203312878","0.81146;0.51863;0.0228322875","0.791;0.46952;-0.0057164188","0.79621;0.53721;-0.0168223698","0.80528;0.54882;-0.0198273417","0.84627;0.51483;0.0178651735","0.82381;0.47375;-0.0151209431","0.82922;0.55804;-0.0150776058","0.84161;0.55925;-0.0041506626","0.88234;0.51599;0.0050695236","0.85841;0.48036;-0.029759312","0.8601;0.5608;-0.0152542256","0.87391;0.56606;0.0063231001","0.92185;0.51987;-0.0096204365","0.89511;0.48363;-0.0223391876","0.88998;0.5405;-0.0071751052","0.90279;0.55483;0.009595844"
3,"image_20231202_144922.png","0.92459;0.60904;-7.372e-07","0.85747;0.58131;-0.0185196027","0.7984;0.49814;-0.0188973304","0.7836;0.40707;-0.0221229717","0.817;0.36864;-0.01924555","0.8255;0.43026;0.0242457278","0.80457;0.38029;-0.0050267982","0.81418;0.4512;-0.0164089892","0.82533;0.46199;-0.0192361344","0.86485;0.42334;0.0217576474","0.84464;0.377;-0.0119490232","0.85163;0.46513;-0.0135374675","0.86289;0.46595;-0.0031946145","0.90437;0.42153;0.0106179388","0.88419;0.37944;-0.0263260826","0.88524;0.46648;-0.0133384978","0.89719;0.47372;0.0081832316","0.94765;0.42111;-0.0028107294","0.92401;0.38674;-0.0170573574","0.91844;0.44832;-0.0029091148","0.92919;0.46364;0.0137218684"
4,"image_20231202_144923.png","0.91765;0.46511;-7.812e-07","0.85194;0.44782;-0.0219353475","0.79145;0.36665;-0.0248120055","0.76842;0.27866;-0.0302963667","0.78287;0.2393;-0.0294360369","0.81211;0.28968;0.0167550873","0.78526;0.23303;-0.0193650033","0.80176;0.30702;-0.033038117","0.81633;0.32658;-0.0351441205","0.85245;0.28137;0.0146176657","0.82622;0.22622;-0.024355121","0.84054;0.31992;-0.0249799956","0.8537;0.32569;-0.0119546577","0.89442;0.27831;0.0032930374","0.87121;0.22853;-0.0404043123","0.87887;0.32217;-0.0248131603","0.89153;0.33492;0.0008124643","0.93995;0.27682;-0.0104498016","0.91548;0.23207;-0.0308131874","0.9135;0.29599;-0.015630208","0.92477;0.31479;0.0035421657"
5,"image_20231202_144927.png","0.57637;0.34389;-5.882e-07","0.50094;0.36829;-0.0092272405","0.43137;0.3392;-0.0187646803","0.38796;0.28157;-0.0286687482","0.38603;0.21604;-0.0350911096","0.42127;0.25171;-0.0079951985","0.37533;0.20422;-0.0219539311","0.39466;0.24195;-0.0264185444","0.42215;0.27229;-0.0264915787","0.45498;0.21018;-0.0101375328","0.41319;0.18212;-0.0202207919","0.43093;0.22455;-0.0219907705","0.45768;0.24752;-0.0210695416","0.49456;0.1809;-0.0137181217","0.44927;0.1622;-0.0257632826","0.4643;0.20345;-0.0189694408","0.48942;0.22665;-0.0114791067","0.5359;0.16099;-0.0172075313","0.49016;0.15056;-0.0231010895","0.49856;0.18295;-0.012721533","0.51879;0.19983;-0.0020598865"
6,"image_20231202_144928.png","0.49332;0.3087;-6.509e-07","0.42284;0.32775;-0.0167939663","0.34824;0.31205;-0.0261435099","0.30542;0.24785;-0.0373895168","0.30842;0.1797;-0.0442870334","0.35447;0.23573;0.0002160502","0.30955;0.19937;-0.0332698971","0.3417;0.2461;-0.0488447063","0.36547;0.25676;-0.0545612909","0.38414;0.1993;-0.0042044763","0.33918;0.16374;-0.0417405143","0.37336;0.21794;-0.0488521568","0.3981;0.22889;-0.0439882167","0.41715;0.16462;-0.014400905","0.36994;0.13377;-0.0507903658","0.40023;0.19041;-0.040439453","0.42381;0.20585;-0.0226876158","0.45671;0.13304;-0.0261695888","0.40578;0.11221;-0.0475054905","0.42461;0.1573;-0.0375534333","0.44682;0.17305;-0.0234068912"
7,"image_20231202_144929.png","0.37267;0.34735;-7.796e-07","0.28991;0.35944;0.0006490003","0.22062;0.34261;-0.0022628596","0.1744;0.28805;-0.0144629888","0.17111;0.22167;-0.0242973398","0.23252;0.26078;0.0384431034","0.18141;0.23598;0.0104544582","0.20742;0.2819;-0.0055819978","0.23613;0.29021;-0.0116669415","0.25353;0.22638;0.0252472721","0.19827;0.19827;-0.0111506274","0.23207;0.25924;-0.0216002185","0.26262;0.26554;-0.0174002089","0.27962;0.18988;0.0057757813","0.22048;0.16916;-0.030633783","0.25435;0.23253;-0.0229777806","0.28573;0.24196;-0.0051994617","0.3143;0.15409;-0.0142040309","0.25191;0.13809;-0.0320210457","0.27061;0.18733;-0.0204993095","0.30099;0.20034;-0.0051654298"
8,"image_20231202_144932.png","0.33245;0.59562;-6.343e-07","0.27661;0.64686;0.0035679492","0.21255;0.65014;0.007692568","0.17067;0.63309;0.0054665529","0.14136;0.61008;0.0039959298","0.19538;0.5519;0.0311527569","0.15586;0.55859;0.0157732479","0.15845;0.59791;0.0012053765","0.17388;0.63531;-0.0055237636","0.20355;0.51558;0.021704575","0.16274;0.5338;0.0062583433","0.17204;0.584;-0.0082047852","0.19324;0.62082;-0.0133204823","0.21818;0.47701;0.0089361425","0.17479;0.5023;-0.0065735914","0.18369;0.56092;-0.0136479819","0.20622;0.6017;-0.0131605407","0.24149;0.43783;-0.0042157783","0.19767;0.46741;-0.0164641794","0.19547;0.52194;-0.016942462","0.20955;0.56593;-0.0123360669"
9,"image_20231202_144933.png","0.40886;0.76289;-9.101e-07","0.34204;0.81902;0.0084596509","0.27911;0.84576;0.0058655967","0.23186;0.85285;-0.0070929024","0.19814;0.8244;-0.0180013236","0.2368;0.7492;0.0296193957","0.18397;0.76934;-1.81364e-05","0.22569;0.8046;-0.0166979209","0.26164;0.80328;-0.0224152934","0.2458;0.71682;0.0115239602","0.19197;0.75336;-0.0237134527","0.24548;0.78928;-0.0320067853","0.27938;0.77407;-0.0271413699","0.25683;0.67761;-0.0112694828","0.20774;0.72307;-0.0417468883","0.25853;0.75628;-0.0306003168","0.28737;0.73978;-0.0131850038","0.27339;0.63429;-0.0343853682","0.22659;0.67711;-0.0459638387","0.2589;0.71171;-0.0309408773","0.28475;0.70225;-0.0144438669"
10,"image_20231202_144934.png","0.60189;0.80048;-8.655e-07","0.52885;0.85409;-0.0040433044","0.46142;0.88492;-0.0116705177","0.4053;0.89185;-0.0271217637","0.37109;0.84737;-0.0374349691","0.41236;0.77383;0.0269956626","0.36961;0.82419;-0.0047149113","0.42049;0.85415;-0.0217451658","0.44279;0.83836;-0.0292277038","0.42136;0.73956;0.0135670789","0.37411;0.80029;-0.0247127265","0.4348;0.83265;-0.0300232675","0.45693;0.8071;-0.0230706204","0.43558;0.70171;-0.0067708376","0.39186;0.76692;-0.0419239588","0.44594;0.80185;-0.0275891703","0.46785;0.78043;-0.0069341166","0.45625;0.66345;-0.029135745","0.41457;0.71842;-0.0427276269","0.44466;0.7581;-0.0286832806","0.46618;0.75063;-0.0125366272"
