"id","ten_file_anh","wrist","thumb_cmc","thumb_mcp","thumb_ip","thumb_tip","index_finger_mcp","index_finger_pip","index_finger_dip","index_finger_tip","middle_finger_mcp","middle_finger_pip","middle_finger_dip","middle_finger_tip","ring_finger_mcp","ring_finger_pip","ring_finger_dip","ring_finger_tip","pinky_mcp","pinky_pip","pinky_dip","pinky_tip"
1,"005JHy1bgy1ga2yymvcy4j32yo4g0u0x.jpg","0.40833;0.31763;4.318e-07","0.40257;0.26328;0.0506067686","0.36113;0.23073;0.0657439306","0.34121;0.20572;0.0659513772","0.3383;0.18327;0.0633961931","0.27763;0.25026;0.0530036278","0.2813;0.19191;0.0465331487","0.29705;0.15195;0.0390004367","0.31318;0.12081;0.0323579684","0.27297;0.25236;0.013074806","0.28982;0.17528;0.0048906123","0.31184;0.13279;-0.0043797647","0.33296;0.10072;-0.0115826773","0.28102;0.25301;-0.0263124518","0.28211;0.17731;-0.0347634219","0.30271;0.13562;-0.0405847915","0.31962;0.10528;-0.0463288315","0.29924;0.25085;-0.062569961","0.26708;0.20245;-0.0710545406","0.26676;0.17337;-0.0739177912","0.27471;0.14927;-0.0774737298"
2,"005JHy1bgy1gb11tk690pj32yo4g0u13.jpg","0.48056;0.93503;1.7101e-06","0.42607;0.86982;0.0056761228","0.39525;0.80574;-0.0411600173","0.41176;0.74805;-0.0822765827","0.44374;0.70297;-0.1221127957","0.31503;0.79235;-0.1967796683","0.30297;0.71403;-0.287291348","0.36754;0.65787;-0.3293422759","0.4306;0.6236;-0.3488826156","0.34707;0.8296;-0.2299384773","0.43585;0.71029;-0.325573653","0.52497;0.66694;-0.3378764093","0.57788;0.6509;-0.3340795934","0.41647;0.85851;-0.2522061169","0.5191;0.74667;-0.3221796155","0.5952;0.70646;-0.3028168976","0.62977;0.69171;-0.2787669599","0.49136;0.87705;-0.2705871165","0.59471;0.79923;-0.3207358718","0.66113;0.76427;-0.3087112904","0.698;0.74424;-0.2890591919"
3,"005JHy1bgy1gb11to1dpbj32yo4g0b2h.jpg","0.37408;0.53164;2.88e-07","0.40255;0.48537;0.0270119291","0.39167;0.44992;0.0338528752","0.38796;0.42167;0.0315738432","0.3908;0.40261;0.0281311702","0.32893;0.44793;0.0263826158","0.34919;0.4111;0.0125329578","0.37996;0.393;0.0023537078","0.40717;0.38086;-0.0043789172","0.32066;0.45189;0.0013887826","0.34311;0.40849;-0.016658552","0.38181;0.3888;-0.0272667743","0.41363;0.37555;-0.0327117853","0.32377;0.4592;-0.0241586845","0.33629;0.41519;-0.0428021178","0.37498;0.39717;-0.0488847941","0.40831;0.38501;-0.0504805334","0.33567;0.46791;-0.0476676412","0.34321;0.43306;-0.0618279502","0.36672;0.41412;-0.065097101","0.39173;0.39998;-0.0660704449"
4,"005JHy1bgy1gb11tsl3maj32yo4g0x6x.jpg","0.2073;0.45746;-6.6e-09","0.27664;0.44731;0.0489684232","0.33344;0.44721;0.0634845495","0.37363;0.45026;0.0670342445","0.40624;0.45229;0.0675811246","0.36328;0.42375;0.0204386134","0.42128;0.40592;0.0087423706","0.45669;0.39102;-0.0001977462","0.48898;0.37624;-0.0067428197","0.35501;0.43108;-0.0147010842","0.44329;0.43882;-0.0273710415","0.4943;0.44127;-0.0350920074","0.53232;0.44096;-0.04058633","0.33823;0.44379;-0.0464079566","0.41973;0.46304;-0.0569439791","0.469;0.47217;-0.0630154312","0.50703;0.47636;-0.0674301237","0.32006;0.46027;-0.0737630948","0.38433;0.47623;-0.0803074911","0.42206;0.48397;-0.0805661082","0.4545;0.48928;-0.0811953992"
5,"005JHy1bly1gc56iob7i5j32yo4g07wn.jpg","0.33402;0.52693;4.098e-07","0.33647;0.46937;-0.0246705767","0.3097;0.42265;-0.0439667553","0.26823;0.38073;-0.0578556694","0.23768;0.34565;-0.0720697194","0.22266;0.42984;-0.0631308556","0.145;0.38378;-0.0850504339","0.09293;0.3617;-0.0938743949","0.05352;0.34417;-0.1006534472","0.18911;0.45799;-0.0616042726","0.09223;0.4223;-0.0900560096","0.03405;0.39876;-0.1058793664","-0.00788;0.37883;-0.1173158884","0.17497;0.4861;-0.0584567077","0.08394;0.46143;-0.0834821239","0.02684;0.44177;-0.1003031209","-0.01611;0.42504;-0.1125947461","0.17895;0.50932;-0.0553860031","0.10621;0.51199;-0.0822214186","0.05641;0.5114;-0.099160403","0.01235;0.50823;-0.1093868762"
6,"0074wLCtgy1glvucmf4kpj33ri3ggnpp.jpg","0.70597;0.6883;-1.576e-07","0.71962;0.67386;-0.0527672321","0.75004;0.65399;-0.0683818832","0.77907;0.62877;-0.0732560903","0.80252;0.60149;-0.0744152069","0.80343;0.67247;-0.0375992768","0.83677;0.62401;-0.0529436059","0.82572;0.59395;-0.0620307587","0.80599;0.57845;-0.0645866022","0.79707;0.65763;-0.0112902932","0.81666;0.60699;-0.0310150329","0.79013;0.59129;-0.0438992009","0.7648;0.59297;-0.0467232764","0.78823;0.64228;0.0106429411","0.80366;0.59981;-0.0111650061","0.7783;0.59372;-0.0240528341","0.75692;0.60112;-0.0253871903","0.78162;0.63084;0.0292754229","0.79088;0.60046;0.0089025842","0.77582;0.5955;-0.0025755172","0.76066;0.60202;-0.0046866061"
7,"01-43-27-174e94e4e7582d7ca012b564c424d821.jpg","0.68665;0.7077;-5.943e-07","0.62748;0.68218;-0.0023292492","0.58551;0.63162;-0.0064902576","0.54861;0.59991;-0.0181688573","0.51187;0.57544;-0.0265012216","0.63027;0.57414;0.0236424878","0.60494;0.52056;-0.0069046994","0.55701;0.53341;-0.0287252348","0.53542;0.5601;-0.0378919318","0.64647;0.57128;0.0095821368","0.60799;0.51417;-0.0192689002","0.55375;0.53609;-0.033497002","0.53485;0.56266;-0.0356317051","0.66317;0.57388;-0.0105078043","0.62339;0.51695;-0.0353895649","0.56743;0.53754;-0.0414730459","0.54569;0.56412;-0.0382199101","0.67583;0.584;-0.0321364999","0.63185;0.54226;-0.0470617488","0.58623;0.55169;-0.0491420738","0.56526;0.57158;-0.0461220667"
8,"01-48-57-446a4d08474b76d4a9df1e99f36fc078.jpg","0.75172;0.75576;2.565e-07","0.79011;0.69765;0.0260772407","0.77381;0.64918;0.0438088812","0.74457;0.60995;0.0605969355","0.72603;0.58046;0.0793203339","0.69164;0.63281;0.025770247","0.63827;0.58344;0.0411114842","0.61822;0.56045;0.0587115735","0.61038;0.54836;0.0740892366","0.64606;0.6524;0.0224277899","0.58748;0.60081;0.0374014564","0.57297;0.5784;0.0581396781","0.5702;0.56452;0.0776436627","0.61497;0.67693;0.0212814417","0.55058;0.63316;0.0347253643","0.53383;0.60985;0.0537603609","0.5316;0.59275;0.0702227354","0.59747;0.70374;0.0228884276","0.5379;0.67276;0.0398027822","0.51505;0.65411;0.0568989441","0.50565;0.63805;0.072788164"
9,"01-55-12-61daa7cc3f68c11b4d0e1c7009db1c9d.jpg","0.37017;0.77298;6.044e-07","0.32773;0.72889;0.0316068605","0.27995;0.68338;0.0321945474","0.25772;0.64361;0.0226742234","0.24173;0.60612;0.0117754769","0.23933;0.69107;-0.0031862122","0.18632;0.60336;-0.0272871014","0.18279;0.54024;-0.039027568","0.19014;0.49355;-0.0431910269","0.24111;0.6972;-0.0331638381","0.17538;0.59999;-0.0588344373","0.17618;0.52843;-0.0672988519","0.19172;0.48162;-0.0680561364","0.25992;0.69295;-0.0607248284","0.19041;0.60653;-0.0787200481","0.18877;0.53609;-0.0807273313","0.20012;0.48718;-0.0782511234","0.29364;0.67602;-0.0859771147","0.24025;0.60564;-0.0943266824","0.22991;0.55394;-0.0914146751","0.23284;0.51572;-0.0871860832"
10,"08-39-00-0078d6mxly1gch3fg19woj30sg145h47.jpg","0.32537;0.43768;4.833e-07","0.38457;0.4034;0.0297260564","0.39484;0.36709;0.0362446606","0.402;0.34141;0.0332490727","0.41036;0.32089;0.028595943","0.33639;0.32764;0.0136607625","0.35947;0.27588;-0.0029572216","0.38805;0.24802;-0.0144070527","0.41562;0.22748;-0.0221609846","0.32757;0.33033;-0.0148332696","0.37337;0.27227;-0.0369413979","0.41711;0.24618;-0.0496192425","0.45206;0.23122;-0.0557027273","0.33211;0.34104;-0.0421579741","0.3835;0.28836;-0.0617759153","0.42996;0.26468;-0.0697433054","0.46422;0.24963;-0.0726626664","0.34655;0.35661;-0.0669678673","0.38914;0.318;-0.0794490799","0.42244;0.29816;-0.0813051164","0.44957;0.28416;-0.081450209"
